client_id,company_name,tier,industry,first_booking_date
1,АльфаГрупп,2,Финансы,2024-09-04
2,БетаЛогистик,3,Ритейл,2024-02-18
3,ГаммаТех,3,Ритейл,2024-11-20
4,ДельтаФинанс,2,Логистика,2024-10-07
5,ЕпсилонСтрой,3,IT,2024-01-22
6,ЗетаРитейл,3,IT,2024-05-03
7,ЭтаСервис,3,Ритейл,2024-02-13
8,ТетаМедиа,2,Ритейл,2024-08-21
9,ИотаХолдинг,3,Ритейл,2024-03-12
10,КаппаИмпорт,2,Ритейл,2024-04-22
11,ЛямбдаТорг,3,Логистика,2024-12-22
12,МюГрупп,3,IT,2024-10-21
13,НюТехнологии,3,IT,2024-09-24
14,КсиПроект,2,Финансы,2024-03-15
15,ОмикронДата,2,Строительство,2024-05-21
16,ПиСистемс,3,Ритейл,2024-04-22
17,РоАгро,2,Логистика,2024-01-08
18,СигмаЭнерго,3,Ритейл,2024-06-13
19,ТауКонсалтинг,1,Строительство,2024-02-07
20,ИпсилонКапитал,3,IT,2024-12-11
21,ФиАвто,2,Финансы,2024-11-16
22,ХиФармаЦевт,3,IT,2024-11-15
23,ПсиЦифровой,1,IT,2024-05-05
24,ОмегаРесурс,3,Строительство,2024-12-18
25,АльфаПрайм,3,Строительство,2024-05-24
26,БетаКонтракт,3,Финансы,2024-07-19
27,ГаммаЭкспресс,1,IT,2024-06-08
28,ДельтаОпт,3,Логистика,2024-09-16
29,ЕвроТрейд,2,Логистика,2024-01-28
30,ЗападПарк,3,IT,2024-03-21
31,ВостокСнаб,3,Строительство,2024-11-14
32,СеверТорг,3,Финансы,2024-02-13
33,ЮгКомпани,1,Строительство,2024-10-15
34,ЦентрАльянс,2,Логистика,2024-05-18
35,НордВест,3,Логистика,2024-11-24
36,ТехноПром,3,Ритейл,2024-11-18
37,МегаСтрой,2,Логистика,2024-11-11
38,УниверсалГрупп,3,IT,2024-05-14
39,ПартнёрПлюс,3,Ритейл,2024-08-01
40,ТрастСервис,3,IT,2024-09-25
41,КвантТех,3,Ритейл,2024-09-04
42,СинтезПро,3,Строительство,2024-11-17
43,АктивБизнес,3,Ритейл,2024-04-05
44,ПрогрессИнвест,3,Строительство,2024-03-18
45,СтандартХолд,2,Ритейл,2024-01-20
46,НоваяЭра,2,Логистика,2024-08-01
47,ВершинаГрупп,2,Ритейл,2024-06-27
48,АтлантТрейд,2,IT,2024-04-02
49,ПрофиЛайн,2,Логистика,2024-10-03
50,ЭкспертКо,3,Логистика,2024-12-16
